AMANDA, , BELL, , F, , 12/30/2003, 570-811-9657, 570-811-9657, 340 BEACH 66ST, PH, FAR ROCKAWAY, NY, 11692, , ABELL@AMGGT.COM, , 15790506, 

BEVERLY, , DIAZ, , F, , 3/30/2002, 610-745-9184, , 681 EAST 181 STREET, 5C, BRONX, NY, 10457, , , 1173209, 15386037, 
BEVERLY, , DIAZ, , F, , 3/30/2002, 862-953-1598, , 2280 BEAUMONT AVENUE, BSMT, BRONX, NY, 10457, WAUGH, BDIAZ@AMGGT.COM, 1173383, 15374795, JENIFER SONYA ZUNIGA 

JACOB, , SNYDER, , M, , 10/26/2011, 484-909-2098, , 1020 WALTON AVENUE, 7C, BRONX, NY, 10452, , , 1173758, 15479706, 
JACOB, , SNYDER, , M, , 10/26/2011, 732-524-4583, , 1006 GERARD, 7C, BRONX, NY, 10452, , , 1174079, 16018847, 

JOHN, ROBERT, WALTERS, , M, , 9/18/1922, 845-305-7952, , 1232 MORRIS AVENUE, 2, BRONX, NY, 10456, , JWALTERS@AMGGT.COM, 1177399, 15873918, 
JOHN, ROBERT, WALTERS, , M, , 9/18/1922, 973-922-2178, , 183 BELMONT, 2D, , , , , , 1177544, 15829986, 

AUSTIN, JUAN, HANNA, , M, , 10/7/2002, 862-424-2782, , 871 ELTON AVENUE, 1C, BRONX, NY, 10451, , AHANNA@AMGGT.COM, 1178538, 15549540, 
AUSTIN, JUAN, HANNA, , M, , 10/7/2002, 610-254-6012, , 681 COURTLAND, 1B, BRONX, NY, 10451, , , 1178940, 15628835, 

JEAN, , CHAVEZ, , F, , 8/25/1971, 484-212-4680, , 16 E 168TH STREET, 1G, BRONX, NY, 10452, , , 1179043, 15895567, 
JEAN, , CHAVEZ, , F, , 8/25/1971, 570-778-8539, , 16 EAST 169 STREET, 1J, BRONX, NY, 10452, , , 1179311, 15638745, 

LEXUS, , JONES, , F, , 12/29/1959, 959-122-2434, , 534 E 3RD STREET, 1F1, MT VERNON, NY, 10553, JOKINEN, LJONES@AMGGT.COM, 1183939, 15804000, 
LEXUS, , JONES, , F, , 12/29/1959, 484-710-5112, , 3037 PAULING AVENUE, 1FL, BRONX, NY, 10469, , , 1184138, 15960252, 

CHRISTOPHER, FRANCIS, MITCHELL, , M, , 9/1/2006, 732-554-4709, , 975 SIMPSON AVENUE, 2K, BRONX, NY, 10459, , , 1185989, 15700341, 
CHRISTOPHER, FRANCIS, MITCHELL, , U, , 9/1/2006, 347-829-3438, , 3052 THIRD AVENUE, 4F, BRONX, NY, 10457, , , 1186140, 15779255, 

ROBERT, , KING, , M, , 5/26/1958, 959-713-1533, , 105 CLARKE PLACE, 1 K, BRONX, NY, 10452, , , 1186813, 15706951, 
ROBERT, , KING, , M, , 5/26/1958, 609-439-6369, , 2347 TIEBOUT AVENUE, 4C, BRONX, NY, 10458, , , 1187089, 15507166, 

DYLAN, VICTOR, MAYEN, , M, , 5/5/2011, 917-704-9003, 917-704-9003, 8109 20 TH AVENUE D3, BROOKLYN ,NY, , 11214, MYERS, DMAYEN@AMGGT.COM, 1191461, 15858894, 
DYLAN, VICTOR, MAYEN, , M, , 5/5/2011, 917-704-9003, 917-704-9003, 479 74TH STREET, 6, BROOKLYN, NY, 11209, , , 1191578, 15891038, 

ARYIH, , COLLETT, , F, , 12/26/2009, 848-849-3796, , 17527 WEXFORD TERRACE, 6 B, JAMAICA, NY, 11432, , ACOLLETT@AMGGT.COM, 1192581, 15526596, 
ARYIH, , COLLETT, , F, , 12/26/2009, 347-409-7343, , 8815 168TH STREET, 4Y, JAMAICA, NY, 11432, , , 1192789, 15591428, 

ROBERT, HOWARD, DENIKE, , M, , 8/18/2008, 631-202-5416, , 125 WHITE STREET, , NEW YORK, NY, 10038, , , 1194940, 15375457, 
ROBERT, HOWARD, DENIKE, , M, , 8/18/2008, 929-646-4713, , 360 EAST 193 STREET, , BRONX, NY, 10458, , , 1195076, 15633968, 

ALIDA, , ALBERTS, , F, , 4/25/1924, 570-639-6820, , 3424 GATES PLACE, 5D, BRONX, NY, 10467, , , 1196830, 15895062, 
ALIDA, , ALBERTS, , F, , 4/25/1924, 860-714-6152, , 2015 GRAND AVENUE, 2F, BRONX, NY, 10453, , , 1197101, 15603426, 

SAUL, , GENTRY, , M, , 7/19/2012, 518-374-9731, , 2625 3RD AVENUE, 6F, BRONX, NY, 10451, , , 1197439, 15731862, 
SAUL, , GENTRY, , M, , 7/19/2012, 718-550-5969, , 2625 THIRD AVENUE, 6F, BRONX, NY, 10451, , , 1197794, 15732307, 

DALE, , EDELMAN, , M, , 12/26/2003, 908-784-5902, , 20 W190TH STREET, 6C, BRONX, NY, 10468, , , 1197924, 15910094, 
DALE, , EDELMAN, , M, , 12/26/2003, 267-923-2675, , 2265 DAVIDSON AVENUE, 5J, BRONX, NY, 10453, , DEDELMAN@AMGGT.COM, 1198110, 15481504, 

ELIJAH, JAMES, COLLINS, , M, , 4/2/2013, 929-736-1032, , 2995 CRUGER AVENUE, 3D, BRONX, NY, 10462, , ECOLLINS@AMGGT.COM, 1200542, 15628293, 
ELIJAH, JAMES, COLLINS, , M, , 4/2/2013, 609-189-6414, , 750 PELHAM PARKWAY SOUTH, PH, BRONX, NY, 10462, , , 1200650, 15411271, 

DIGER, NORMAN, JONES, , M, , 4/14/2003, 732-136-9837, , 430 7TH AVENUE, 7F, NEW YORK, NY, 10030, , , 1201493, 15717505, 
DIGER, NORMAN, JONES, , M, , 4/14/2003, 732-994-6808, , 1471 TAYLOR AVENUE, 29, BRONX, NY, 10460, , , 1201594, 15786801, 

RICHARD, , YOUNG, , M, , 6/26/1998, 212-294-5920, , 11511 144TH STREET, PH, JAMAICA, NY, 11436, , RYOUNG@AMGGT.COM, 1205067, 15694573, 
RICHARD, , YOUNG, , M, , 6/26/1998, 609-467-2314, , 5120 GOLDSMITH STREET, , ELMHURST, NY, 11373, , , 1205377, 15523901, 

OWEN, CHARLES, YOUNG, , M, , 8/24/2004, 848-220-6858, , 9729 BRISBIN STREET, 1FL, JAMAICA, NY, 11435, , OYOUNG@AMGGT.COM, 1208667, 15839659, 
OWEN, CHARLES, YOUNG, , M, , 8/24/2004, 518-143-9202, , 9731 WALTHAMS STREET, PH, JAMAICA, NY, 11433, , , 1208815, 15895033, 

ROSA, , COLATO, , F, , 5/11/2002, 203-347-8841, , 3569 DEKALB AVENUE, L, BRONX, NY, 10467, , RCOLATO@AMGGT.COM, 1209577, 15945141, 
ROSA, , COLATO, , F, , 5/11/2002, 848-872-3457, , 2800 UNIVERSITY AVENUE, 3S, BRONX, NY, 10468, , , 1209742, 15711501, 

BRODY, , WILLIAMS, , M, , 4/21/1931, 484-606-6231, , 2360 1ST AVENUE, 12A, NEW YORK, NY, 10035, , BWILLIAMS@AMGGT.COM, 1209973, 15747624, 
BRODY, , WILLIAMS, , M, , 4/21/1931, 631-520-1181, , 2933 BOSTON ROAD, 2, BRONX, NY, 10469, , , 1210310, 15897653, 

KODY, BRADY, HERNANDEZ, , M, , 9/18/2004, 609-927-4720, , 16706 HIGHLAND AVENUE, PH, JAMAICA, NY, 11432, , KHERNANDEZ@AMGGT.COM, 1213212, 15533009, 
KODY, BRADY, HERNANDEZ, , M, , 9/18/2004, 484-131-6031, , 8549 168TH STREET, 2F, JAMAICA, NY, 11432, , , 1213463, 15374988, 

JAMES, , RASMUSSEN, , M, , 2/10/1963, 845-170-5237, , 14574 222ND STREET, 1FL, SPRINGFIELD GARDENS, NY, 11413, FARNUM, JRASMUSSEN@AMGGT.COM, 1213909, 15916020, 
JAMES, , RASMUSSEN, , M, , 2/10/1963, 347-118-6884, , 10531 135 STREET, PH, RICHMOND HILL, NY, 11419, , , 1214079, 15553751, 

LINDA, , EMANUEL, , F, , 5/30/2012, 203-551-8635, , 3075 32 STREET, 2FL, LONG ISLAND CTY, NY, 11106, , , 1220279, 15852349, 
LINDA, , EMANUEL, , F, , 5/30/2012, 347-527-2688, , 3274 33RD STREET, BSMT, LONG ISLAND CTY, NY, 11106, , LEMANUEL@AMGGT.COM, 1220548, 15688670, 

BRANDON, , GRIFFIS, , M, , 12/5/2006, 973-544-9562, , 630 WATER STREET, 4E, NEW YORK, NY, 10002, , , 1221027, 15629111, 
BRANDON, , GRIFFIS, , M, , 12/5/2006, 934-620-4544, , 45 RUTGERS STREET, 2 B, BROOKLYN, NY, 11220, , BGRIFFIS@AMGGT.COM, 1221138, 15906133, 

MATT, , STEPHENSON, , M, , 9/26/2005, 860-715-7522, , 870 EAST 162 STREET, 3B, BRONX, NY, 10459, , MSTEPHENSON@AMGGT.COM, 1225526, 15967731, 
MATT, , STEPHENSON, , M, , 9/26/2005, 201-756-3246, , , , , , , , , 1225642, 15781926, 

CODY, , WALKER, , M, , 12/14/2003, 609-609-9741, , 64 W 107TH STREET, 21, NEW YORK, NY, 10025, , , 1225855, 15558116, 
CODY, , WALKER, , M, , 12/14/2003, 848-996-2276, , 137 W 137TH STREET, 3H, NEW YORK, NY, 10030, , , 1226112, 15621528, 

DORIS, , HAYES, , F, , 4/24/1968, 973-198-1518, , 750 E166 STREET, 9 G, BRONX, NY, 10456, , , 1227794, 15824482, 
DORIS, , HAYES, , F, , 4/24/1968, 862-631-9951, , 352 EAST 134 STREET, 1A, BRONX, NY, 10454, , , 1228007, 15973207, 

LUPE, , REED, , M, , 3/24/2013, 267-548-3185, , 611 W 154RD STREET, 7B, NEW YORK, NY, 10031, MONTIHO, LREED@AMGGT.COM, 1228749, 15621565, 
LUPE, , REED, , M, , 3/24/2013, 959-299-6027, , 219 E 121 STREET, , NEW YORK, NY, 10035, , , 1228911, 15681583, 

DANIEL, , JENKINS, , M, , 6/22/2015, 934-595-1013, , 173 CHESTNUT STREET, PH, BKLYN, NY, 11208, , , 1231493, 15983946, 
DANIEL, , JENKINS, , M, , 6/22/2015, 862-685-3050, , 217 RIDGEWOOD AVENUE, PH, BROOKLYN, NY, 11208, , , 1231625, 15528646, 

BRIE, , RIVERA, , F, , 12/23/1969, 862-340-3700, , 216 BRADHURST AVENUE, 8, NY, NY, 10039, , , 1236223, 15630410, 
BRIE, , RIVERA, , F, , 12/23/1969, 551-299-6028, , 2130 1ST AVENUE, 908, NEW YORK, NY, 10029, , BRIVERA@AMGGT.COM, 1236427, 15906091, 

DAVID, CHASE, ROBBINS, , M, , 8/14/1947, 484-460-3427, , 889 DAWSON STREET, 1, BRONX, NY, 10455, , , 1236848, 15393335, 
DAVID, CHASE, ROBBINS, , M, , 8/14/1947, 203-551-6655, , 945 GRAND AVENUE, 1, BRONX, NY, 10456, , , 1236974, 15744298, 

ROBERT, , YEZERSKY, , M, , 10/22/2009, 732-867-6221, , 16 WILLARD AVENUE, P H, MT VERNON, NY, 10553, , , 1237697, 15487219, 
ROBERT, , YEZERSKY, , M, , 10/22/2009, 484-659-9046, , 80 GUION PLACE, 2X, NEW ROCHELLE, NY, 10801, , , 1237962, 15792364, 

ALYSSA, ANN, JONES, , F, , 8/6/2007, 609-834-1511, , 97 WEST 130 STREET, 4, NEW YORK, NY, 10037, , , 1241125, 15558545, 
ALYSSA, ANN, JONES, , F, , 8/6/2007, 631-606-1615, , 67 W 130TH STREET, 4, NEW YORK, NY, 10037, , , 1241323, 15794806, 

LILY, , AGARWAL, , F, , 7/23/2007, 631-115-5310, , 895 IRVINE STREET 1, 4L, BRONX, NY, 10474, , LAGARWAL@AMGGT.COM, 1243685, 15576364, 
LILY, , AGARWAL, , F, , 7/23/2007, 201-246-5183, , 895 IRVINE STREET, 1, BRONX, NY, 10474, , , 1243857, 15521279, 

COLTON, , PRICE, , M, , 6/18/2009, 934-353-6171, , UNK, , XXX, NY, 11111, , , 1244219, 15991085, 
COLTON, , PRICE, , M, , 6/18/2009, 718-308-4836, , 7325 153YH STREET, 160, FLUSHING, NY, 11367, , CPRICE@AMGGT.COM, 1244343, 15480195, 

MAYRA, GISELLE, JOHNSON, , F, , 4/8/2010, 908-765-1919, , 1191 PARK PLACE, , BROOKLYN, NY, 11213, , , 1247914, 15427450, 
MAYRA, GISELLE, JOHNSON, , F, , 4/8/2010, 934-887-7008, , 219 E 121 STREET, , NEW YORK, NY, 10035, , , 1248036, 15650374, 

GAVIN, , STEVENS, , M, , 7/6/2002, 201-900-5806, , 11210 GUYRBREWER BOULEVARD, PVT, JAMAICA, NY, 11433, TORRES, GSTEVENS@AMGGT.COM, 1249545, 15636280, 
GAVIN, , STEVENS, , M, , 7/6/2002, 570-684-8513, , 115129 SPRINGFIELD BOULEVARD, , CAMBRIA HTS, NY, 11411, , , 1249727, 15541480, 

MICHAEL, THOMAS, CHAMBERS, , M, , 8/12/1969, 845-785-5684, , 1250 GRAND CONCOURSE, 3E, BRONX, NY, 10456, , , 1250502, 15741754, 
MICHAEL, THOMAS, CHAMBERS, , M, , 8/12/1969, 518-749-7453, , 3444 WHITE PLAINS ROAD, 4A, BRONX, NY, 10467, , , 1250804, 15820829, 

MICHAEL, R, SOWERS, , M, , 5/7/1996, 570-916-9368, , 385 EAST 152 ND STREET, 3F, BRONX, NY, 10456, , , 1251040, 15531631, 
MICHAEL, R, SOWERS, , M, , 5/7/1996, 860-844-8693, , 376 EAST 158TH STREET, 1, BRONX, NY, 10451, , , 1251211, 15553913, 

JAMES, , JAMES, , M, , 11/2/2013, 516-269-2179, , 727 EAST 215 STREET, PH, BRONX, NY, 10467, , , 1254282, 15609846, 
JAMES, , JAMES, , M, , 11/2/2013, 908-854-6300, , 3653 HOLLAND AVENUE, PH, BRONX, NY, 10467, WASHINGTON, JJAMES@AMGGT.COM, 1254558, 15395134, 

LADONNA, ANGELA, HIRSH, , F, , 4/18/2005, 848-859-6329, , 17 WEST 137TH STREET, 7, NY, NY, 10037, , , 1257379, 15551771, JO LAURA RUIZ 
LADONNA, ANGELA, HIRSH, , F, , 4/18/2005, 666-666-6666, , 15 W 137TH STREET, 6B, NY, NY, 10037, , LHIRSH@AMGGT.COM, 1257509, 15676035, 

JAMES, W, THOMSEN, , M, , 4/9/2012, 862-815-3614, , 13905 90TH AVENUE, 7, JAMAICA, NY, 11434, , , 1258475, 15412193, 
JAMES, W, THOMSEN, , M, , 4/9/2012, 000-000-0000, , 14847 88 AVENUE, 1FL, JAMAICA, NY, 11432, , , 1258663, 15785857, 

JOSEPH, , HONEYCUTT, , M, , 9/20/1996, 9999999999, , 210 BALCOM AQVE, 1, BRONX, NY, 10453, , JHONEYCUTT@AMGGT.COM, 1259382, 15824439, 
JOSEPH, , HONEYCUTT, , M, , 9/20/1996, 862-670-5468, , , , , , , , , 1259582, 15922686, 

NANCY, , TAYLOR, , F, , 6/15/2008, 333-333-3333, , 433 LENOX AVENUE, 505, NEW YORK, NY, 10027, , NTAYLOR@AMGGT.COM, 1260611, 15542369, 
NANCY, , TAYLOR, , F, , 6/15/2008, 484-850-9502, , 117 W 142TH STREET, 2, NEW YORK, NY, 10030, , , 1260751, 15392977, 

LINDSEY, KARIN, MORGAN, , F, , 9/9/1992, 732-100-1019, , 1111 GERARD AVENUE, 2B, BRONX, NY, 10452, , , 1261496, 15729483, 
LINDSEY, KARIN, MORGAN, , F, , 9/9/1992, 777-777-7777, , 1168 STRATFORD AVENUE, 313, BRONX, NY, 10472, , , 1261685, 15822501, 

THOMAS, EUGENE, CUPPS, , M, , 11/19/2015, 267-670-2406, , , , , , , , , 1264526, 15445195, 
THOMAS, EUGENE, CUPPS, , M, , 11/19/2015, 111-111-1111, , HOMELESS, , UNKNOWN, NY, 99995, , , 1264652, 15912612, 

TONI, , PORTESY, , F, , 5/5/2010, 444-444-4444, , 1991 GLEASON AVENUE, 1, BRONX, NY, 10472, RANCHER, TPORTESY@AMGGT.COM, 1265676, 15485471, 
TONI, , PORTESY, , F, , 5/5/2010, 516-368-6626, , 1983 GLEASON AVENUE, , BRONX, NY, 10472, , , 1265787, 15821917, 

LACEY, APRIL, MONTGOMERY, , F, , 12/3/1937, 123-456-7890, , 2292 BATHAGATE, B3, BRONX, NY, 10458, , LMONTGOMERY@AMGGT.COM, 1270141, 15974993, 
LACEY, APRIL, MONTGOMERY, , F, , 12/3/1937, 718-695-2771, , 113 SHERMAN AVENUE, 5, NEW YORK, NY, 10034, , , 1270336, 15848730, 

BRADEN, ROGER, FUNES, , M, , 7/27/2011, 8888888888, , 335 E 112 STREET, 1A, NEW YORK, NY, 10029, , BFUNES@AMGGT.COM, 1278263, 15809410, 
BRADEN, ROGER, FUNES, , M, , 7/27/2011, 845-687-3404, , 315 E143RD STREET, 5C, BRONX, NY, 10451, , , 1278385, 15917341, 

JAMIE, , BROMFIELD, , F, , 6/7/2000, 347-160-6618, , , , , , , , , 1281035, 15974452, 
JAMIE, , BROMFIELD, , F, , 6/7/2000, 333-333-3333, , 267 WEST 152ND STREET, 7J, NEW YORK, NY, 10039, , , 1281198, 16008165, 

HOLLY, LORI, GARCIA, , F, , 11/16/1950, 732-511-8035, , 1 WARDS ISLAND, , NEW YORK, NY, 10035, , , 1284956, 15557494, 
HOLLY, LORI, GARCIA, , F, , 11/16/1950, 555-555-5555, , 1818 HAZEN STREET, , FLUSHING, NY, 11370, , , 1285068, 15466936, 

JOHN, STEVE, MINIER, , M, , 8/29/1971, 732-423-7680, , 953 ALDUS STREET, , BRONX, NY, 10459, , , 1290287, 15950525, 
JOHN, STEVE, MINIER, , M, , 8/29/1971, 222-222-2222, , 228 WEST 129TH STREET, 5B, NEW YORK, NY, 10028, , JMINIER@AMGGT.COM, 1290474, 15709823, 

JORDAN, JOHN, STEWART, , M, , 2/2/2007, 848-627-1469, , 10343 105 STREET, , OZONE PARK, NY, 11417, , , 1290738, 15564567, 
JORDAN, JOHN, STEWART, , M, , 2/2/2007, 777-777-7777, , 10354 105 STREET, PH, OZONE PARK, NY, 11417, FRAZIER, JSTEWART@AMGGT.COM, 1290910, 15421269, 

MIGUEL, NATHAN, MOEN, , M, , 6/6/2010, 848-186-9987, , 8826 209 STREET, PH, QNS VILLAGE, NY, 11427, , , 1291328, 15964716, 
MIGUEL, NATHAN, MOEN, , M, , 6/6/2010, 666-666-6666, , 8975 210 PLACE, , QV, NY, 11427, , MMOEN@AMGGT.COM, 1291654, 15735127, 

ALEXIS, , MARX, , F, , 3/11/2015, 959-183-6153, , , , , , , , , 1293110, 15665964, 
ALEXIS, , MARX, , F, , 3/11/2015, 0, , 10704 104TH STREET, PH, OZONE PARK, NY, 11417, , AMARX@AMGGT.COM, 1293220, 15567026, 

WILLIAM, , ELAM, , M, , 9/22/2007, 123-456-7890, , 1353 SHERIDAN AVENUE, 5B, BRONX, NY, 10456, CHAVEZ, WELAM@AMGGT.COM, 1293704, 16025812, 
WILLIAM, , ELAM, , M, , 9/22/2007, 212-340-1903, , 1355 MORRIS AVENUE, 5F, BRONX, NY, 10456, , , 1293886, 15485724, 

DWIGHT, JAMES, FOX, , M, , 6/12/2006, 973-940-1676, , 1342 ST LAWRENCE AVENUE, 1A, BRONX, NY, 10472, , , 1293990, 15413602, 
DWIGHT, JAMES, FOX, , M, , 6/12/2006, 999-999-9999, , 868 FAILE STREET, 2:00 AM, BRONX, NY, 10452, , DFOX@AMGGT.COM, 1294165, 15582661, 

VERA, , JULIEN, , F, , 12/15/2003, 3333333333, , 437 MORRIS PARK AVENUE, B63, BRONX, NY, 10460, , , 1300837, 15810332, 
VERA, , JULIEN, , F, , 12/15/2003, 347-710-3651, , 390 AUBURN PLACE 4665, BA, BROOKLYN, NY, 11205, , , 1301181, 15743203, 

RYAN, , COLLINS, , M, , 3/24/1952, 666-666-6666, , 2101 MADISON AVENUE, 6D, NEW YORK, NY, 10037, REYESAMADOR, RCOLLINS@AMGGT.COM, 1304080, 15759469, 
RYAN, , COLLINS, , M, , 3/24/1952, 267-257-9290, , 1155 MORRISON AVENUE, 3K, BRONX, NY, 10472, , , 1304253, 15553770, 

LISA, , DAUDIER, , F, , 12/13/1934, 1111111111, , 2134 VYSE AVENUE, 1F, BRONX, NY, 10460, KRAUT KRAMER, LDAUDIER@AMGGT.COM, 1305862, 15673178, 
LISA, , DAUDIER, , F, , 12/13/1934, 610-591-4151, , 114 W 143RD STREET, 5E, NY, NY, 10030, , , 1305972, 15756701, 

HUNTER, , EDENSO, , F, , 3/10/2013, 777-777-7777, , 530 EAST 170 STREET, P H, BRONX, NY, 10456, , HEDENSO@AMGGT.COM, 1307451, 15574745, 
HUNTER, , EDENSO, , F, , 3/10/2013, 610-553-1694, , 1210 WOODYCREST AVENUE, 2B, BRONX, NY, 10452, , , 1307557, 15412450, 

RAUL, , SMITH, , M, , 10/13/1955, 610-571-8120, , 998 LONGFELLOW AVENUE, 3K, BRONX, NY, 10460, , , 1308625, 15394129, 
RAUL, , SMITH, , M, , 10/13/1955, 999-999-9999, , 2310 HOLLAND AVENUE, , BRONX, NY, 10467, , , 1308806, 15591057, 

OSCAR, VICTOR, JOHNSON, , M, , 12/9/2014, 845-599-9001, , , , , , , , , 1313574, 15773161, 
OSCAR, VICTOR, JOHNSON, , M, , 12/9/2014, 6666666666, , 19414 100TH AVENUE, PH, HOLLIS, NY, 11423, , OJOHNSON@AMGGT.COM, 1313787, 15383098, 

TRAVIS, JAY, LESH, , M, , 12/11/2008, 862-864-6178, , 429 WEST 125TH STREET, 5E, NEW YORK, NY, 10027, , , 1315162, 15804476, 
TRAVIS, JAY, LESH, , M, , 12/11/2008, 666-666-6666, , 3073 PARK AVENUE, 6F, BRONX, NY, 10451, , TLESH@AMGGT.COM, 1315269, 15821892, 

RYAN, , YAMAMOTO, , M, , 5/22/1997, 2222222222, , 153 WEST 132 ND STREET, 4D, NEW YORK, NY, 10027, , , 1318239, 15433727, 
RYAN, , YAMAMOTO, , M, , 5/22/1997, 551-144-5031, , 431EAST 136T STREET, 3D, NEW YORK, NY, 10030, , , 1318480, 15525854, 

CASSIE, L, ROSE, , F, , 7/24/2002, 222-222-2222, , 1321 HARROD AVENUE, BSMT, BRONX, NY, 10472, SALANT, CROSE@AMGGT.COM, 1319726, 15808367, 
CASSIE, L, ROSE, , F, , 7/24/2002, 610-518-7081, , , , , , , , , 1319872, 15778753, CYNTHIA L HUFFORD 

IAN, CHRISTOPHER, CARTER, , M, , 9/28/2011, 123-456-7890, , 66 SOUTH WEST STREET, PH, MOUNT VERNON, NY, 10550, , , 1321740, 15391075, 
IAN, CHRISTOPHER, CARTER, , M, , 9/28/2011, 917-825-9540, , 777 EAST 237 STREET, 1FL, BRONX, NY, 10466, , , 1321900, 15663124, BOBBY E MCCORD 

LOGAN, , KELLY, , M, , 6/26/1926, 0, , 3432 GATES PLACE, 2, BRONX, NY, 10467, , LKELLY@AMGGT.COM, 1325966, 15611101, 
LOGAN, , KELLY, , M, , 6/26/1926, 959-904-4882, , 3315 CRUGER AVENUE, 2 B, BRONX, NY, 10467, , , 1326085, 15835612, 

ANTHONY, TYLER, SIMPSON, , M, , 4/4/2004, 555-555-5555, , 2215 VIRGIL PLACE, , BX, NY, 10458, , ASIMPSON@AMGGT.COM, 1337268, 15614014, 
ANTHONY, TYLER, SIMPSON, , M, , 4/4/2004, 959-491-8880, , , , , , , , , 1337407, 15691541, 

TERRY, , BARNES, , M, , 6/7/2015, 123-456-7890, , 1802 STORY AVENUE, 7C, BRONX, NY, 10473, , TBARNES@AMGGT.COM, 1339546, 15785642, 
TERRY, , BARNES, , M, , 6/7/2015, 860-412-8239, , 215 E 164TH STREET, 4T, BRONX, NY, 10456, , , 1339670, 15798190, 

SENOVIO, , MARTINEZ, , , , 12/1/2005, 551-345-8606, , 8930 164TH STREET, 22M, JAMAICA, NY, 11432, , , 1341753, 15752162, 
SENOVIO, , MARTINEZ, , M, , 12/1/2005, 888-888-8888, , 65 14 9ARSONS BOULEVARD, 4A, FRESH MEADOWS, NY, 11365, , , 1341981, 15713368, 

JOHN, A, GARCIA, , M, , 7/26/1974, 555-555-5555, , 462 FIRST AVENUE, SHLT, NEW YORK, NY, 10016, , , 1342092, 15428080, 
JOHN, A, GARCIA, , M, , 7/26/1974, 610-608-1475, , 22 EAST 119TH STREET, , NEW YORK, NY, 10038, , , 1342258, 15710544, 

AVIJOT, , FRANCO, , M, , 2/5/2004, 347-343-6578, , 631 E 220 STREET, BB, BRONX, NY, 10464, , , 1342392, 15374796, 
AVIJOT, , FRANCO, , M, , 2/5/2004, 7777777777, , 2240 MONTT AVENUE, 1K, FAR ROCKAWAY, NY, 11691, , AFRANCO@AMGGT.COM, 1342520, 15486827, 

MICHAEL, WILLIAM, MIKESELL, , M, , 2/9/2005, 203-471-2203, , 20 WATERSIDE PLAZA, 15B, NEW YORK, NY, 10010, , , 1342792, 15779803, 
MICHAEL, WILLIAM, MIKESELL, , M, , 2/9/2005, 123-456-7890, , 1556 GLOVER STREET, PH, BRONX, NY, 10462, , , 1342943, 15429177, 

GAVINN, , ORONA, , M, , 12/25/1935, 718-133-6514, , , , , , , , , 1347913, 15678192, 
GAVINN, , ORONA, , M, , 12/25/1935, 7777777777, , 14113 UNION TPKE, 2N, FLUSHING, NY, 11367, , GORONA@AMGGT.COM, 1348073, 15781823, 

JUSTIN, , WEEKS, , M, , 10/20/1992, 666-666-6666, , 148 W 142ND STREET, 3F, NEW YORK, NY, 10030, , , 1351299, 15838221, 
JUSTIN, , WEEKS, , M, , 10/20/1992, 555-555-5555, , 1155 EAST 225TH STREET, 1C, BRONX, NY, 10466, , , 1351429, 15754989, 

BLAKE, DAVID, DURAN, , M, , 5/11/2004, 7777777777, , , , , , , , , 1352207, 15746280, 
BLAKE, DAVID, DURAN, , M, , 5/11/2004, 6666666666, , 10455 164TH STREET, 2F, JAMAICA, NY, 11433, , , 1352368, 15814960, 

TREYDAN, SHELBY, VILMONT, , M, , 3/12/2009, 111-111-1111, , 75 W 190ST, 5C, BRONX, NY, 10468, , TVILMONT@AMGGT.COM, 1352499, 15861190, 
TREYDAN, SHELBY, VILMONT, , M, , 3/12/2009, 222-222-2222, , 2733 MORRIS AVENUE, 3 D, BRONX, NY, 10468, , , 1352719, 15377583, 

NICHOLAS, , MAIZEL, , M, , 4/26/2008, 888-888-8888, , 219 EAST 121 STREET, , NEW YORK, NY, 10035, , , 1352866, 15813233, 
NICHOLAS, , MAIZEL, , M, , 4/26/2008, 777-777-7777, , 2440 BOSTON ROAD, 11D, BRONX, NY, 10467, , , 1353054, 15381387, 

ETHAN, KENNETH, ATKINSON, , M, , 12/23/2004, 6666666666, , 1014 HOE AVENUE, , BRONX, NY, , , , 1354891, 15944227, 
ETHAN, KENNETH, ATKINSON, , M, , 12/23/2004, 5555555555, , 550 EAST 152ND STREET, 21, BRONX, NY, 10456, , , 1355019, 15507554, 

MARA, , MATTESSICH, , F, , 6/23/1928, 123-456-7890, , 1339 BEACH AVENUE, 2R, BRONX, NY, 10472, , , 1357000, 15673963, 
MARA, , MATTESSICH, , F, , 6/23/1928, 999-999-9999, , 1150 ST LAWRENCE AVENUE, A, BRONX, NY, 10472, , , 1357224, 15988198, 

MICHELLE, , MOYA, , F, , 4/20/1943, 2222222222, , 11003 UNION HALL STREET, PH, JAMAICA, NY, 11433, , , 1358003, 15853433, 
MICHELLE, , MOYA, , F, , 4/20/1943, 1111111111, , 11003 164TH PLACE, PH, JAMAICA, NY, 11433, , MMOYA@AMGGT.COM, 1358112, 15753523, 

JACOB, MARK, DENSLEY, , M, , 12/6/1963, 777-777-7777, , 11124 145TH STREET, , JAMAICA, NY, 11435, , , 1362225, 15618428, 
JACOB, MARK, DENSLEY, , M, , 12/6/1963, 666-666-6666, , 15803 137TH AVENUE, PH, JAMAICA, NY, 11434, , , 1362380, 15452362, 

