AMANDA, , WIEDEL, , F, , 11/2/2005, 609-831-9721, 609-831-9721, 735 PELHAM PARKWAY N, 1H, BRONX, NY, 10467, , AWIEDEL@AMGGT.COM, , 15415697, 
MICHAEL, , FAULHABER, , M, , 3/15/2002, 609-782-7194, 609-782-7194, 1815 GRAND CONCOURSE, 4B, BRONX, NY, 10453, MOORE, MFAULHABER@AMGGT.COM, 730326, 15834041, 
MICHAEL, , FAULHABER, , M, , 3/15/2002, 609-782-7194, 609-782-7194, 2485 DEVOE TERRACE, 1E, BRONX, NY, 10468, , , 736602, 15559007, 

THOMAS, , CARLTON, , M, , 10/5/2001, , , 1132 BOYTON AVENUE, 7C, , , 10472, , , , 15389480, 
THOMAS, , CARLTON, , M, , 10/5/2001, 862-516-8129, 862-516-8129, 1132 BOYTON AVENUE, 7C, BRONX, NY, 10472, , TCARLTON@AMGGT.COM, 730186, 15696491, 
THOMAS, , CARLTON, , M, , 10/5/2001, 862-516-8129, 862-516-8129, 1314 ELDER AVENUE, 10, BRONX, NY, 10472, , , 793793, 15913706, 

ANGELICA, , ARMSTRONGBEURIE, , F, , 5/7/2002, , , 45 JACKSON STREET, 2D, , , 10002, , , , 15969156, 
ANGELICA, , ARMSTRONGBEURIE, , F, , 5/7/2002, 631-699-5361, 631-699-5361, 915 43RD STREET, A2, BROOKLYN, NY, 11219, , , 713850, 15448605, 
ANGELICA, , ARMSTRONGBEURIE, , F, , 5/7/2002, 631-699-5361, 631-699-5361, 45 JACKSON STREET, 2D, NEW YORK, NY, 10002, , , 753215, 15869816, 

AUSTIN, JEFFREY, BALDWIN, , M, , 7/18/2003, , , 185 AMBOY STREET, 64, , , 11212, , , , 15394750, 
AUSTIN, JEFFREY, BALDWIN, , M, , 7/18/2003, 516-785-1855, 516-785-1855, 185 AMBOY STREET, 64, BROOKLYN, NY, 11212, , ABALDWIN@AMGGT.COM, 774054, 15851480, 
AUSTIN, JEFFREY, BALDWIN, , M, , 7/18/2003, 516-785-1855, 516-785-1855, 305 GRAHAM AVENUE, 2, BROOKLYN, NY, 11211, , , 814882, 15866698, 

TINA, , BOURGEAULT, , F, , 5/6/1932, , , , , , , , , , , 15936514, 
TINA, , BOURGEAULT, , F, , 5/6/1932, 518-747-8528, 860-379-2831^^518-747-8528, 219 EAST 121ST STREET, , NEW YORK, NY, 10035, , , 761406, 15777602, 
TINA, , BOURGEAULT, , F, , 5/6/1932, 570-592-7067, 570-592-7067, MABON BUILDING, , NEW YORK, NY, 10035, , , 815377, 15925851, 

CHARLES, PETER, FORD, , M, , 4/26/2004, , , 754 HOWARD AVENUE, 1FL, , , 11212, , , , 15966608, 
CHARLES, PETER, FORD, , M, , 4/26/2004, 917-831-1928, 917-831-1928, 754 HOWARD AVENUE, 1FL, BROOKLYN, NY, 11212, , CFORD@AMGGT.COM, 745178, 15471717, 
CHARLES, , FORD, , M, , 4/26/2004, 917-831-1928, 917-831-1928, 1516 UNION STREET, 2I, BROOKLYN, NY, 11213, , , 807560, 15751112, 

ROBERT, , MERCIER, , M, , 12/29/1933, , , , , , , , , , , 15666074, 
ROBERT, FRANKLIN, MERCIER, , M, , 12/29/1933, 201-246-4903, 201-246-4903, 903 E 220TH STREET, N, BRONX, NY, 10469, , RMERCIER@AMGGT.COM, 770068, 15956553, 
ROBERT, FRANKLIN, MERCIER, , M, , 12/29/1933, 908-521-1248, 518-652-1874^^908-521-1248, 2720 BARNES A, PH, BRONX, NY, 10467, , , 818575, 15409598, 

DAMIEN, , MESSINA, , M, , 5/7/2006, , , , , , , , , , , 15384324, 
DAMIEN, , MESSINA, , M, , 5/7/2006, 860-279-6200, 860-279-6200, , , , , , , , 716162, 15927731, 
DAMIEN, ROCK, MESSINA, , M, , 5/7/2006, 860-279-6200, 860-279-6200, 1600 HAZEN STREET, , FLUSHING, NY, 11370, , , 790954, 15901227, 

MAKAYLA, , DINGWALL, , F, , 9/11/2007, , , , , , , , , , , 15668904, 
MAKAYLA, , DINGWALL, , F, , 9/11/2007, 267-736-8650, 267-736-8650, 10436 196TH STREET, 4A, SAINT ALBANS, NY, 11412, , , 716641, 15860655, 
MAKAYLA, , DINGWALL, , F, , 9/11/2007, 267-736-8650, 267-736-8650, 10436 196 STREET, 4:00 AM, HOLLIS, NY, 11412, , MDINGWALL@AMGGT.COM, 768433, 15716664, 

KENNETH, , DROSTE, , M, , 7/12/2003, , , , , , , , , , , 15639807, 
KENNETH, EDWARD, DROSTE, , M, , 7/12/2003, 845-858-1081, 845-858-1081, 1963 DALY AVENUE, 39, BRONX, NY, 10460, , KDROSTE@AMGGT.COM, 739662, 15438364, 
KENNETH, , DROSTE, , M, , 7/12/2003, 845-858-1081, 267-732-8127^^845-858-1081, 3038 WALLACE AVENUE, B1, BRONX, NY, 10467, , , 810262, 15942074, 

WILLIAM, , BRYANT, , M, , 12/6/2007, , , , , , , , , , , 15815954, 
WILLIAM, JOHN, BRYANT, , M, , 12/6/2007, 973-978-7686, 973-978-7686, , , , , , , , 721427, 15667597, 
WILLIAM, , BRYANT, , M, , 12/6/2007, 973-978-7686, 973-978-7686, , , , , , , , 797833, 15684759, 

ALAN, , HURLEY, , M, , 3/3/2005, , , 425 E 105TH STREET, 14B, , , 10029, , , , 15561607, 
ALAN, F, HURLEY, , M, , 3/3/2005, 908-788-2659, 908-788-2659, , , , , , , , 753106, 15651930, 
ALAN, , HURLEY, , M, , 3/3/2005, 908-788-2659, 908-788-2659, 425 E 105TH STREET, 14B, NEW YORK, NY, 10029, , , 812696, 15400997, 

LINDA, , SKLAR, , F, , 12/10/2014, , , , , , , , , , , 15606294, 
LINDA, , SKLAR, , F, , 12/10/2014, 860-560-1366, 860-560-1366, 50 MANHATTAN AVENUE, 1 C, BROOKLYN, NY, 11206, , , 756874, 15640792, 
LINDA, F, SKLAR, , F, , 12/10/2014, 860-560-1366, 860-560-1366, 50 MANHATTAN AVENUE, 1C, BROOKLYN, NY, 11206, , , 801141, 15664859, 

ANITA, , MARTE, , F, , 5/17/2014, , , , , , , , , , , 15933131, 
ANITA, , MARTE, , F, , 5/17/2014, 973-745-5387, 973-745-5387, 11107 41ST AVENUE, 2F, CORONA, NY, 11368, , , 750888, 15587402, 
ANITA, , MARTE, , F, , 5/17/2014, 973-745-5387, 973-745-5387, 11107 41ST AVENUE, 2F, CORONA, NY, 11368, , , 812181, 15662468, 

STACIE, , WALKERCLARK, , F, , 8/19/1972, , , , , , , , , , , 15383491, 
STACIE, ANN, WALKERCLARK, , F, , 8/19/1972, 610-136-2726, 610-136-2726, 1334 LOUIS NINE BOULEVARD, 4J, BRONX, NY, 10459, , SWALKERCLARK@AMGGT.COM, 713223, 15901173, 
STACIE, , WALKERCLARK, , F, , 8/19/1972, 551-841-9156, 959-652-3057^^551-841-9156, 1334 LOUS NINE BOULEVARD, 4J, BRONX, NY, 10459, , , 789800, 15655950, 

ALEX, CARLOS, DAMIANO, , M, , 9/13/1994, , , 2405 FIRST AVENUE, 3A, , , 10035, , , , 15932491, 
ALEX, , DAMIANO, , M, , 9/13/1994, 267-954-4474, 267-954-4474, 2405 1ST AVENUE, 8A, NEW YORK, NY, 10035, , , 824839, 15574743, 
ALEX, CARLOS, DAMIANO, , M, , 9/13/1994, 267-954-4474, 267-954-4474, 2405 FIRST AVENUE, 3A, NEW YORK, NY, 10035, , ADAMIANO@AMGGT.COM, 830224, 15893151, 

DANANN, , MARTIN, , F, , 4/12/2012, , , 100 ELTON STREET, 3D, , , 11208, , , , 15541056, 
DANANN, , MARTIN, , F, , 4/12/2012, 862-151-5722, 862-151-5722, 230 LOTT AVENUE, 5K, BROOKLYN, NY, 11221, , , 781617, 15692877, 
DANANN, , MARTIN, , F, , 4/12/2012, 862-151-5722, 862-151-5722, 100 ELTON STREET, 3D, BROOKLYN, NY, 11208, , , 800223, 15477198, 

ELMIN, , NOVIELLI, , M, , 6/20/2005, , , 390 9 AVENUE, BSMT, , , 10001, , , , 15590588, 
ELMIN, , NOVIELLI, , M, , 6/20/2005, 934-762-6477, 934-762-6477, 390 9 AVENUE, BSMT, NEW YORK, NY, 10001, , ENOVIELLI@AMGGT.COM, 843764, 15480796, 
ELMIN, , NOVIELLI, , M, , 6/20/2005, 934-762-6477, 484-352-5976^^934-762-6477, 462 FIRST AVENUE, , NEW YORK, NY, 10016, , , 844107, 15420428, 

JARRED, JOSEPH, ENGLISH, , M, , 10/11/2007, , , 666 EAST 224TH STREET, 4B, , , 10466, , , , 15865444, 
JARRED, J, ENGLISH, , M, , 10/11/2007, 570-354-6832, 570-354-6832, 684 E 222 STREET, 1H, BRONX, NY, 10467, , , 768099, 15472198, 
JARRED, JOSEPH, ENGLISH, , M, , 10/11/2007, 570-354-6832, 862-315-5849^^570-354-6832, 666 EAST 224TH STREET, 4B, BRONX, NY, 10466, , , 804543, 15412632, 

JULIANNA, , LOVE, , F, , 9/18/2014, , , 1489 SHORE PARK WAY, 5G, , , 11214, , , , 15913245, 
JULIANNA, , LOVE, , F, , 9/18/2014, 201-930-5562, 201-930-5562, 1489 SHORE PARK WAY, 5G, BROOKLYN, NY, 11214, , , 765048, 15599347, 
JULIANNA, KANDI, LOVE, , F, , 9/18/2014, 201-930-5562, 201-930-5562, 287 WEBSTER AVENUE, 3E, BROOKLYN, NY, 11230, , , 781755, 15772667, 

ALANA, , MILLER, , F, , 4/12/2004, , , , , , , , , , , 15575308, 
ALANA, , MILLER, , F, , 4/12/2004, 718-883-6432, 718-883-6432, , , , , , , , 728080, 15568339, 
ALANA, LEIGH, MILLER, , F, , 4/12/2004, 718-883-6432, 718-883-6432, , , , , , SMITH, AMILLER@AMGGT.COM, 805471, 15931682, 

GAYLEN, , EDWARDS, , M, , 12/28/1998, , , , , , , , , , , 15670459, 
GAYLEN, , EDWARDS, , M, , 12/28/1998, 631-560-9532, 860-591-9057^^631-560-9532, 24 FURMAN AVENUE, , BROOKLYN, NY, 11203, , , 718349, 15423589, 
GAYLEN, , EDWARDS, , M, , 12/28/1998, 609-849-1897, 609-849-1897, 24 FURMAN AVENUE, , BROOKLYN, NY, 11203, , GEDWARDS@AMGGT.COM, 749820, 15942505, 

DAVID, , DRAGON, , M, , 6/20/2003, , , , , , , , , , , 15731909, 
DAVID, , DRAGON, , M, , 6/20/2003, 973-872-6335, 973-872-6335, 1041 EAST 19 STREET, PH, BRONX, NY, 10469, , , 794584, 15751838, 
DAVID, JONATHAN, DRAGON, , M, , 6/20/2003, 973-872-6335, 973-872-6335, 1041 EAST 2116 STREET, PVT, BRONX, NY, 10469, , , 797753, 15995094, 

DAVID, , WISE, , M, , 6/16/2005, , , , , , , , , , , 15633278, 
DAVID, DONALD, WISE, , M, , 6/16/2005, 934-374-8014, 934-374-8014, 1001 E167TH STREET, 2C, BRONX, NY, 10459, , DWISE@AMGGT.COM, 750787, 15552383, 
DAVID, , WISE, , M, , 6/16/2005, 934-374-8014, 934-374-8014, 1001 E 167 STREET, 2C, BX, NY, 10459, , , 808683, 15438336, 

CARL, , FACEY, , M, , 9/19/2003, , , , , , , , , , , 15925568, 
CARL, , FACEY, , M, , 9/19/2003, 862-246-1982, 862-373-1684^^862-246-1982, 655 BURKE AVENUE, 6F, BRONX, NY, 10467, , , 713145, 15417761, 
CARL, RUBEN, FACEY, , M, , 9/19/2003, 862-746-3088, 862-746-3088, 655 BURKE AVENUE, 6F, BRONX, NY, 10467, , CFACEY@AMGGT.COM, 793105, 15769852, 

KENNEDY, , JACKSON, , F, , 12/30/2006, , , , , , , , , , , 15909239, 
KENNEDY, , JACKSON, , F, , 12/30/2006, 610-444-5616, 610-444-5616, , , , , , , , 714081, 15448019, 
KENNEDY, , JACKSON, , F, , 12/30/2006, 610-444-5616, 610-444-5616, 4814 41ST STREET, , LONG ISLAND CTY, NY, 11104, , , 753489, 15988367, 

MARIO, CLARENCE, MASON, , M, , 8/9/1990, , , 315 EAST 102ND STREET, 607, , , 10029, RIVERS, , , 15905824, 
MARIO, CLARENCE, MASON, , M, , 8/9/1990, 484-653-2261, 484-653-2261, , , , , , , , 723427, 15444243, 
MARIO, CLARENCE, MASON, , M, , 8/9/1990, 484-653-2261, 484-653-2261, 315 EAST 102ND STREET, 607, NEW YORK, NY, 10029, RIVERS, MMASON@AMGGT.COM, 803540, 15951736, 

KEENON, , FULLER, , M, , 12/21/1994, , , 446 OCEAN AVENUE, 2C, , , 11226, , , , 15868697, 
KEENON, , FULLER, , M, , 12/21/1994, 201-758-7060, 201-758-7060, 3602 AVENUE J, 1A, BROOKLYN, NY, 11210, , , 762309, 15560289, 
KEENON, , FULLER, , M, , 12/21/1994, 201-758-7060, 201-758-7060, 446 OCEAN AVENUE, 2C, BROOKLYN, NY, 11226, , , 768262, 15805205, 

PERRY, , BOZKURT, , M, , 5/26/2013, , , , , , , , , , , 15976315, 
PERRY, , BOZKURT, , M, , 5/26/2013, 718-268-4556, 718-268-4556, 1702 UNION STREET, 404, BROOKLYN, NY, 11213, , , 728236, 15780657, 
PERRY, , BOZKURT, , M, , 5/26/2013, 718-268-4556, 551-635-3358^^718-268-4556, , , , , , , , 782212, 15783878, 

AMAL, , MALAK, , F, , 12/20/1943, , , , , , , , , , , 15830992, 
AMAL, K, MALAK, , F, , 12/20/1943, 860-939-4313, 860-939-4313, 1818 HAZEN STREET, , EAST ELMHURST, NY, 11370, , AMALAK@AMGGT.COM, 777072, 15826727, 
AMAL, K, MALAK, , F, , 12/20/1943, 848-981-8062, 973-704-7131^^848-981-8062, 316 W 97TH STREET, 33D, NEW YORK, NY, 10025, , , 780550, 15501007, 

ALICIA, , VANWYK, , F, , 12/4/1935, , , , , , , , , , , 15868647, 
ALICIA, , VANWYK, , F, , 12/4/1935, 848-499-4080, 848-499-4080, 202 WEST 24TH STREET, PVT, NEW YORK, NY, 10011, , , 761456, 15448244, 
ALICIA, , VANWYK, , F, , 12/4/1935, 934-209-2866, 718-329-1120^^934-209-2866, 1515 HAZEN STREET, JAIL, EAST ELMHURST, NY, 11370, , , 783886, 15573829, 

ORALIA, BETTY, OLIVER, , F, , 3/19/2009, , , 1447 DORIS STREET, 1C, , , 10462, , , , 15978971, 
ORALIA, BETTY, OLIVER, , F, , 3/19/2009, 203-442-9137, 203-442-9137, 1447 DORIS STREET, 1C, BRONX, NY, 10462, , , 725408, 15850528, 
ORALIA, , OLIVER, , F, , 3/19/2009, 203-442-9137, 203-442-9137, 1225 STRATFORD AVENUE, 3C, BRONX, NY, 10472, , , 807524, 15397117, 

JAMES, , KASULKE, , M, , 12/6/1956, , , , , , , , , , , 15568416, 
JAMES, , KASULKE, , M, , 12/6/1956, 860-424-8528, 862-679-6347^^860-424-8528, 375 EAST 199TH STREET, 2C, BRONX, NY, 10458, , , 818593, 15706176, 
JAMES, , KASULKE, , M, , 12/6/1956, 201-393-3254, 201-393-3254, 350 EAST 137 STREET, 6C, BRONX, NY, 10454, , , 825691, 15990499, 

BRENDAN, , LUBBERS, , M, , 3/12/2010, , , , , , , , , , , 15737046, 
BRENDAN, J, LUBBERS, , M, , 3/12/2010, 267-509-5327, 267-509-5327, 4650 RIVINGTON STREET, , NEW YORK, NY, 10002, , BLUBBERS@AMGGT.COM, 762557, 15387573, 
BRENDAN, JOSE, LUBBERS, , M, , 3/12/2010, 267-509-5327, 267-509-5327, , , , , , , , 768449, 15803093, 

TEMPERANCE, , MCCLAIN, , F, , 8/25/2007, , , 1184 EVERGREEN AVENUE, 3F, , , 10472, , , , 15867975, 
TEMPERANCE, , MCCLAIN, , F, , 8/25/2007, 848-557-2460, 848-557-2460, 875 MORRISON AVENUE, 1C, BRONX, NY, 10472, , , 716527, 15401243, 
TEMPERANCE, , MCCLAIN, , F, , 8/25/2007, 848-557-2460, 848-557-2460, 1184 EVERGREEN AVENUE, 3F, BRONX, NY, 10472, , , 748217, 15418398, 

ALEXANDER, , DENAFO, , M, , 6/26/2005, , , , , , , , , , , 15496903, 
ALEXANDER, , DENAFO, , M, , 6/26/2005, 908-707-3229, 570-902-8587^^908-707-3229, 120 COOP CITY BOULEVARD, , BRONX, NY, 10475, , , 750820, 15491214, 
ALEXANDER, JOHN, DENAFO, , M, , 6/26/2005, 908-707-3229, 908-707-3229, 12011 COOP CITY BOULEVARD, , BRONX, NY, 10475, , , 797577, 15554533, 

JOSE, , BRAITHWAITE, , M, , 10/29/2012, , , , , , , , , , , 15825941, 
JOSE, , BRAITHWAITE, , M, , 10/29/2012, 610-522-1533, 610-522-1533, , , , , , , , 753762, 15481840, 
JOSE, TYLER, BRAITHWAITE, , M, , 10/29/2012, 610-522-1533, 610-522-1533, 14130 PRSHNG CRESCENT, 4R, BRIARWOOD, NY, 11435, , JBRAITHWAITE@AMGGT.COM, 797694, 15719229, 

MELISSA, , SHORT, , F, , 12/22/1932, , , , , , , , , , , 15381488, 
MELISSA, , SHORT, , F, , 12/22/1932, 848-448-4359, 929-350-3112^^848-448-4359, 545 FIRST AVENUE, 10G, NEW YORK, NY, 10016, , , 767035, 15753243, 
MELISSA, , SHORT, , F, , 12/22/1932, 484-135-5618, 484-135-5618, 545 1ST AVENUE, 10 C, NY, NY, 10016, , MSHORT@AMGGT.COM, 805883, 15702146, 

NYLA, , RAMIREZ, , F, , 8/10/1994, , , 518 W 135TH STREET, 4A, , , 10031, , , , 15968470, 
NYLA, , RAMIREZ, , F, , 8/10/1994, 860-975-5569, 860-975-5569, 3804 98TH STREET, , FLUSHING, NY, 11368, , , 716236, 15653381, 
NYLA, , RAMIREZ, , F, , 8/10/1994, 860-975-5569, 860-975-5569, 518 W 135TH STREET, 4A, NEW YORK, NY, 10031, , , 745401, 15825473, 

TYLER, , NGUYEN, , M, , 11/8/2001, , , , , , , , , , , 15448582, 
TYLER, , NGUYEN, , M, , 11/8/2001, 201-418-9458, 201-418-9458, 935 S LONGBEACH AVENUE, PH, FREEPORT, NY, 11520, , , 730996, 15791002, 
TYLER, , NGUYEN, , M, , 11/8/2001, 201-418-9458, 201-418-9458, 935 S LONGBEACH AVENUE, PH, FREEPORT, NY, 11520, , , 748383, 15485200, 

NICOLE, , LOUIS, , F, , 6/7/1997, , , 86 ELDERT STREET, 1, , , 11207, , , , 15720913, 
NICOLE, , LOUIS, , F, , 6/7/1997, 347-226-3181, 347-226-3181, 60 CARLTON AVENUE, 2F, BROOKLYN, NY, 11205, , , 756646, 15687706, 
NICOLE, , LOUIS, , F, , 6/7/1997, 347-226-3181, 347-226-3181, 86 ELDERT STREET, 1, BROOKLYN, NY, 11207, , , 778635, 15910302, 

JAIME, L, HAUCK, , M, , 6/2/2007, , , 890 BRYANT AVENUE, 2G, , , 10474, , , , 15894120, 
JAIME, L, HAUCK, , M, , 6/2/2007, 570-905-6537, 570-905-6537, 890 BRYANT AVENUE, 2G, BRONX, NY, 10474, , , 771228, 15810059, 
JAIME, LAURENCE, HAUCK, , M, , 6/2/2007, 570-905-6537, 570-905-6537, 1705 HOE AVENUE, 5B, BRONX, NY, 10460, , JHAUCK@AMGGT.COM, 805535, 15679442, 

ADIAN, , MAIER, , M, , 9/11/2014, 201-228-3388, , 1373 EAST 174, 13F, BRONX, NY, 10474, , , 713727, 15484241, WILLIAM CURTIS RAMIREZ 
ADIAN, , MAIER, , , , 9/11/2014, , , 1575 EAST 174 STREET, 13F, BRONX, NY, 10473, SANFORD, AMAIER@AMGGT.COM, 733242, 15789602, 

KAYLA, , RAZANA, , F, , 9/20/1999, , , 3444 FISH AVENUE, , BRONX, NY, 10467, , , 741932, 15989624, 
KAYLA, , RAZANA, , F, , 9/20/1999, 203-360-3085, , 1749 GRAND A, 3K, BRONX, NY, 10455, , KRAZANA@AMGGT.COM, 809096, 15851285, 

RILEY, , LOPEZ, , F, , 2/13/1992, , , PROJECT RENEWAL, , NEW YORK, NY, 10003, , , 761901, 15400913, 
RILEY, , LOPEZ, , F, , 2/13/1992, 570-645-5230, , 99 W 163RD STREET, 1, BRONX, NY, 10452, , RLOPEZ@AMGGT.COM, 817319, 15661326, 

JOSE, JOHN, GIUDICE, , M, , 5/24/1996, , , 1124 CAROL PLACE, 3C, BRONX, NY, 10456, , , 764678, 15811462, 
JOSE, JOHN, GIUDICE, , M, , 5/24/1996, 732-709-1794, , 136 WEST 170 STREET, E4, BRONX, NY, 10452, , JGIUDICE@AMGGT.COM, 811776, 15888465, 

EVA, , HUGHES, , F, , 4/6/2000, 929-926-6160, , 1317 WESTFARMS ROAD, 2A, BRONX, NY, 10459, , , 777788, 15886741, 
EVA, REESE, HUGHES, , F, , 4/6/2000, , , 892A UNION AVENUE PH, PH, BRONX, NY, 10459, , , 818804, 15837793, 

MARK, YAEL, ZARATEREYES, , M, , 6/23/2001, , , 1536 JESUP AVENUE, 2, BX, NY, 10461, , , 787547, 15568178, 
MARK, YAEL, ZARATEREYES, JR, M, , 6/23/2001, 570-350-3465, , 2254 CEDAR AVENUE, A, BRONX, NY, 10468, , MZARATEREYES@AMGGT.COM, 793780, 16026503, 

ANNA, SUZANNE, CATELLA, , F, , 12/14/1999, 908-181-9467, , 30 WEST 141 STREET, 8C, NY, NY, 10030, , , 787594, 15494329, 
ANNA, SUZANNE, CATELLA, , F, , 12/14/1999, , , 3032 W 141ST STREET, 11D, NEW YORK, NY, 10037, , , 796914, 15955371, 

ERIC, , HOLLIS, , M, , 5/13/2002, 267-824-8238, , , , , , , , , 796894, 15565140, 
ERIC, , HOLLIS, , M, , 5/13/2002, , , 14227 BARCLAY AVENUE, 103, FLUSHING, NY, 11355, HUGHES, EHOLLIS@AMGGT.COM, 809126, 15566448, 

CHRISTINA, , ESPINOZA, , F, , 11/4/2008, 718-933-6934, , 1960 E TREMONT AVENUE, MD, BRONX, NY, 10462, , , 800001, 15966955, 
CHRISTINA, , ESPINOZA, , F, , 11/4/2008, , , 26 METROPOLITAN OVAL, 6D, BRONX, NY, 10462, , CESPINOZA@AMGGT.COM, 819672, 15631405, 

SARA, C, GRIX, , F, , 10/8/2006, , , 300WEST 15 STREET, 14J, NEW YORK, NY, 10026, , , 809794, 15466710, 
SARA, CHELSEA, GRIX, , F, , 10/8/2006, 518-933-1836, , 300 WEST 110TH STREET, 14J, NEW YORK, NY, 10026, , SGRIX@AMGGT.COM, 821868, 15867912, 

MARIA, , PRINCIPIO, , F, , 6/27/1990, , , 1042 SOUTHERN BOULEVARD, E 2, BRONX, NY, 10459, , , 812625, 15666842, 
MARIA, , PRINCIPIO, , F, , 6/27/1990, 845-395-1787, , 1304 MERRIAM AVENUE, 169B, BRONX, NY, 10452, , MPRINCIPIO@AMGGT.COM, 825054, 15572155, 

QUINTEN, KEITH, FOWLER, , M, , 4/10/2006, , , 15 EAST 208TH STREET, 3C, BRONX, NY, 10467, , , 815676, 16002019, 
QUINTEN, KEITH, FOWLER, JR, M, , 4/10/2006, 929-472-1210, , 55 E 210TH STREET, 3C, BRONX, NY, 10467, , , 826600, 15394760, 

RICHARD, ARTHUR, BARRETT, , M, , 4/16/1995, , , 2796 8 TH AVENUE, 11, NY, NY, 10039, , , 818728, 15493134, 
RICHARD, ARTHUR, BARRETT, , , , 4/16/1995, 484-691-3101, , 241 W 137TH STREET, 4, NNY, NY, 10030, , RBARRETT@AMGGT.COM, 827592, 15549937, 

FRED, LEO, PELZER, , M, , 3/22/2007, , , 127476 LAFAYETTE AVENUE, 3B, BRONX, NY, 10474, , , 825066, 15943543, 
FRED, LEO, PELZER, JR, M, , 3/22/2007, 848-370-8009, , 1070 REV JAMES POLITE, 4A, BRONX, NY, 10459, , , 829986, 15897892, EDWIN WILLIAM MILES 

HEATHER, , JIMENEZ, , F, , 5/5/1995, , , 1207 OGDEN AVENUE, 1A, BRONX, NY, 10456, , , 825409, 15663645, 
HEATHER, , JIMENEZ, , F, , 5/5/1995, 570-497-7339, , 710 HUNTS POINT AVENUE, 1C, BRONX, NY, 10474, , HJIMENEZ@AMGGT.COM, 830563, 15991871, 

NICOLE, , HAWLEY, , F, , 11/19/1996, , , 471 WALES AVENUE, 5H, BRONX, NY, 10455, , , 831802, 15765420, 
NICOLE, , HAWLEY, , F, , 11/19/1996, 718-168-9249, , 917 EAGLE AVENUE, 3A, BRONX, NY, 10456, , NHAWLEY@AMGGT.COM, 832076, 15499942, 

MICHAEL, , DELIA, , M, , 3/27/2000, , , 254 SEAMAN AVENUE, B11, NEW YORK, NY, 10034, , , 832647, 15402746, 
MICHAEL, , DELIA, JR, M, , 3/27/2000, 973-419-6836, , 675 ACADEMY STREET, , NEW YORK, NY, 10034, , , 832992, 15504397, 

MIRANDA, , FORD, , F, , 7/28/2003, 347-409-3183, , 1409 WOODROAD, 5H, BRONX, NY, 10462, , , 835567, 15743743, 
MIRANDA, , FORD, , F, , 7/28/2003, , , 250 WEST 131ST STREET, 1C, NEW YORK, NY, 10027, , , 838231, 15547316, 

JASMIN, PAULINE, CHALMERS, , F, , 10/9/2002, , , 1812 PALISADES PLACE, PH, BRONX, NY, 10453, , , 837363, 15438747, 
JASMIN, PAULINE, CHALMERS, , F, , 10/9/2002, 908-156-6707, , 1480 POPHAM AVENUE, 4D, BRONX, NY, 10453, , JCHALMERS@AMGGT.COM, 839600, 15648966, 

NATALY, , WEIR, , F, , 7/26/2003, , , 711 183 STREET, , BRONX, NY, 10460, , , 837492, 15995553, 
NATALY, , WEIR, , F, , 7/26/2003, 860-309-7634, , 806 EAST 175TH STREET, 2A, BRONX, NY, 10460, , NWEIR@AMGGT.COM, 838862, 15650511, 

KEVIN, , BUTLER, , M, , 12/4/1990, 973-181-2610, , , , , , , , , 837943, 15990160, 
KEVIN, , BUTLER, , M, , 12/4/1990, , , 462 1ST AVENUE, , NEW YORK, NY, 10016, , KBUTLER@AMGGT.COM, 840482, 15579373, 

VENESSA, , WILLIAMS, , F, , 11/15/2004, , , 952 ALDUS STREET, 3D, BRONX, NY, 10459, , , 838423, 15813708, 
VENESSA, , WILLIAMS, , F, , 11/15/2004, 718-501-2180, , 135 WEST 183RD STREET, 2B, BRONX, NY, 10453, , , 841096, 15432798, 

WILLIAM, EDUARDO, HOANG, , M, , 9/24/2003, 551-810-8910, , 8751 143 STREET, PH, JAMAICA, NY, 11435, , , 840104, 15778835, 
WILLIAM, EDUARDO, HOANG, , M, , 9/24/2003, , , 10127 LEFFERTS BOULEVARD, , RICHMOND HIL, NY, 11419, , WHOANG@AMGGT.COM, 841120, 15903033, 

ROBERT, , PRASHAUD, , M, , 5/10/1994, 267-339-3658, , 22 FAERVIEW AVENUE, 4M, NEW YORK, NY, 10040, , , 840655, 15395738, 
ROBERT, , PRASHAUD, , M, , 5/10/1994, , , 75 FAIRVIEW AVENUE, 2D, NEW YORK, NY, 10040, , , 843114, 15909031, 

JUSTINA, , MILES, , F, , 5/19/2002, , , 8471 168 PLACE, , JAMAICA, NY, 11432, , , 842138, 15526686, 
JUSTINA, , MILES, , F, , 5/19/2002, 908-698-3399, , 8815 168 STREET, PH, JAMAICA, NY, 11432, , , 843511, 15523435, 

BRENDA, , HANNAH, , F, , 5/23/2003, , , 8702 168 PLACE, 2, JAMAICA, NY, 11432, , , 842592, 15995320, 
BRENDA, , HANNAH, , F, , 5/23/2003, 609-505-1243, , 8704 168 PALCE, PH, JAMAICA, NY, 11432, , , 842951, 15678841, 

JOHN, , CHARLAND, , M, , 8/24/2008, 845-899-2567, , HARLEM HOSPITAL, , , , 10025, , , 844673, 15551305, 
JOHN, , CHARLAND, , M, , 8/24/2008, , , 540 WEST 126TH STREET, 209, NEW YORK, NY, 10027, , JCHARLAND@AMGGT.COM, 845821, 15633016, 

TRACI, M, SEARS, , F, , 12/27/1994, , , 3063 HULL AVENUE, 13A2, BRONX, NY, 10467, , , 845756, 15976827, 
